,topic,term,beta
1,1,people,0.011682849
2,1,invest,0.005841424
3,1,class,0.005841424
4,1,change,0.005841424
5,1,prison,0.005841424
6,1,growing,0.00467314
7,1,wealthy,0.00467314
8,1,middle_class,0.00467314
9,1,education,0.00467314
10,1,jail,0.00467314
11,2,america,0.012438007
12,2,country,0.012438007
13,2,president,0.011307279
14,2,we've,0.009045823
15,2,change,0.009045823
16,2,united,0.007915095
17,2,united_america,0.006784367
18,2,world,0.006784367
19,2,time,0.006784367
20,2,people,0.006784367
21,3,people,0.016716019
22,3,I'm,0.012580612
23,3,trillion,0.012580612
24,3,costs,0.009677394
25,3,united,0.007741915
26,3,president,0.007741915
27,3,senate,0.007279394
28,3,country,0.006774176
29,3,costs_trillion,0.005806436
30,3,senator,0.005806436
31,4,people,0.012280716
32,4,ive,0.011164287
33,4,job,0.00893143
34,4,act,0.005582144
35,4,they're,0.005582144
36,4,time,0.005582144
37,4,wrote,0.004465715
38,4,medicare,0.004465715
39,4,talk,0.004465715
40,4,troops,0.004465715
41,5,I'm,0.009167142
42,5,he's,0.008205636
43,5,deal,0.008205636
44,5,they're,0.007179932
45,5,climate,0.006154227
46,5,bill,0.006154227
47,5,change,0.006154227
48,5,people,0.006154227
49,5,climate_change,0.005128523
50,5,world,0.005128523
51,6,plan,0.015770113
52,6,insurance,0.012223824
53,6,percent,0.01064445
54,6,people,0.009906759
55,6,dont,0.009072981
56,6,million,0.008870375
57,6,president,0.008870375
58,6,buy,0.007983318
59,6,obamacare,0.006777818
60,6,option,0.006693948
61,7,people,0.017349417
62,7,president,0.011259964
63,7,I'm,0.008426659
64,7,matter,0.00722285
65,7,vice,0.006019042
66,7,vice_president,0.006019042
67,7,law,0.006019042
68,7,donald_trump,0.006019042
69,7,donald,0.006019042
70,7,trump,0.006019042
71,8,president,0.014505415
72,8,troops,0.008283833
73,8,youre,0.007252708
74,8,didnt,0.007252708
75,8,people,0.007252708
76,8,combat_troops,0.006896918
77,8,combat,0.006896092
78,8,ramos,0.006043923
79,8,joe,0.006043923
80,8,senator,0.006043923
81,9,time,0.009440262
82,9,talking,0.009437928
83,9,people,0.00586124
84,9,I'm,0.005310242
85,9,obama,0.00524459
86,9,stand,0.00524459
87,9,situation,0.00524459
88,9,choose,0.00524459
89,9,he's,0.00524459
90,9,president,0.004873674
91,10,I'm,0.014271389
92,10,people,0.008724272
93,10,beat,0.007083069
94,10,deal,0.007038777
95,10,beginning,0.00611631
96,10,time,0.00611631
97,10,president,0.00611631
98,10,afghanistan,0.005794109
99,10,putin,0.005096925
100,10,happened,0.005096925
